evaluations raw_y
1 1.2291052114
2 1.3227513228
5 1.4318442153
18 1.7730496454
31 1.9025875190
46 2.1968365554
63 2.2281639929
64 2.6881720430
96 2.7352297593
129 2.7839643653
220 2.9976019185
337 3.2467532468
877 3.3156498674
953 3.4626038781
4431 3.6231884058
5001 2.1968365554
evaluations raw_y
1 0.7066139062
2 1.1916110582
7 1.2690355330
9 1.5151515152
22 1.6087516088
29 2.1663778163
98 2.2603978300
148 2.3277467412
187 2.7839643653
442 2.9411764706
476 2.9976019185
725 3.3875338753
1158 3.4626038781
1326 3.5410764873
1435 3.6231884058
2015 3.7091988131
2227 4.0983606557
5000 4.0983606557
evaluations raw_y
1 0.9184423218
2 1.7337031900
33 2.1663778163
49 2.9411764706
250 3.1172069825
970 3.2467532468
988 3.3156498674
1106 3.4626038781
1317 3.9936102236
1719 4.0983606557
5001 2.1079258010
evaluations raw_y
1 1.1394712853
4 1.3007284079
8 1.5605493134
9 1.7730496454
24 2.0525451560
46 2.8344671202
81 3.0562347188
765 3.1172069825
813 3.2467532468
854 3.3156498674
867 3.5410764873
1070 3.7993920973
1565 4.0983606557
5000 4.0983606557
evaluations raw_y
1 1.1312217195
4 1.1737089202
6 1.4585764294
26 1.4723203769
28 1.6600265604
47 1.7146776406
49 2.0525451560
69 2.1663778163
81 2.3277467412
103 2.5987525988
168 2.9976019185
217 3.1806615776
232 3.3875338753
323 3.5410764873
539 3.7993920973
552 3.8940809969
651 4.2087542088
5000 2.5150905433
evaluations raw_y
1 1.1394712853
3 1.2007684918
4 1.5006002401
16 1.6778523490
23 2.2935779817
96 2.4752475248
97 2.6427061311
143 2.6881720430
320 2.8868360277
386 3.1806615776
448 3.2467532468
532 3.3875338753
547 3.5410764873
569 3.7091988131
5001 3.7091988131
evaluations raw_y
1 0.6673785371
3 1.1916110582
4 1.2794268168
21 1.6960651289
26 1.8573551263
46 2.5562372188
211 2.9976019185
281 3.2467532468
346 3.3875338753
418 3.4626038781
495 4.8638132296
5001 2.3277467412
evaluations raw_y
1 1.2794268168
8 1.5299877601
10 1.6600265604
25 2.0259319287
58 2.0798668885
62 2.1079258010
93 2.3277467412
109 2.4752475248
190 2.7839643653
207 3.2467532468
372 3.5410764873
688 3.7993920973
5001 2.0798668885
evaluations raw_y
1 1.1916110582
5 1.4863258026
16 1.7146776406
30 2.0525451560
53 2.3277467412
100 2.6881720430
101 2.8344671202
151 2.8868360277
182 3.0562347188
1031 3.5410764873
