evaluations raw_y
1 1.0692899914
2 1.1150758252
7 1.4863258026
16 1.5006002401
20 1.6425755585
22 1.9747235387
43 2.1968365554
92 2.9411764706
172 3.7993920973
3474 3.9936102236
5000 2.0525451560
evaluations raw_y
1 2.1968365554
16 2.2603978300
34 2.4366471735
107 2.5150905433
116 2.5562372188
122 2.9976019185
135 3.0562347188
175 3.3875338753
203 3.4626038781
206 3.5410764873
1655 3.6231884058
2427 3.7091988131
5000 1.1478420569
evaluations raw_y
1 0.8132726090
2 1.0204081633
7 1.2588116818
15 1.3455328310
23 1.4188422247
24 1.5923566879
33 1.9025875190
42 1.9747235387
46 2.1663778163
64 2.4366471735
75 2.8868360277
96 3.3156498674
111 3.8940809969
810 3.9936102236
5000 1.6087516088
evaluations raw_y
1 1.4060742407
4 1.8796992481
10 2.6427061311
233 2.6881720430
284 2.7352297593
302 2.7839643653
636 2.8868360277
757 3.1806615776
1875 3.2467532468
1944 3.7091988131
5000 0.7196315486
evaluations raw_y
1 0.9758001561
2 1.2007684918
4 1.2291052114
5 1.2487512488
15 1.6778523490
17 1.7934002869
26 2.1079258010
33 2.9976019185
55 3.2467532468
1292 3.5410764873
1337 4.0983606557
1386 4.3252595156
3326 4.4483985765
5000 1.8796992481
evaluations raw_y
1 0.9758001561
2 1.1230907457
4 1.4188422247
10 1.6960651289
22 1.8142235123
34 1.8573551263
40 1.8796992481
53 1.9260400616
56 1.9747235387
66 2.0000000000
74 2.2603978300
92 2.5150905433
124 2.7839643653
197 2.8868360277
535 2.9976019185
542 3.3156498674
597 3.4626038781
1052 3.8940809969
5000 1.9025875190
evaluations raw_y
1 1.5762925599
2 1.7531556802
12 1.9025875190
22 2.2281639929
40 2.4752475248
53 2.5562372188
64 2.6881720430
192 2.8868360277
375 2.9976019185
389 3.3156498674
393 3.5410764873
672 3.7091988131
805 3.7993920973
3622 3.8940809969
3676 3.9936102236
5000 1.9025875190
evaluations raw_y
1 1.0993843448
3 1.2794268168
12 1.3227513228
14 1.3812154696
20 1.5299877601
23 1.7730496454
27 1.9747235387
53 2.1367521368
74 2.1968365554
87 2.3277467412
123 2.8344671202
244 3.0562347188
365 3.1172069825
426 3.4626038781
5000 0.8048937540
evaluations raw_y
1 1.1071744907
6 1.3227513228
8 1.3340448239
13 1.3572204126
14 1.6600265604
25 1.8796992481
36 2.0525451560
51 2.7839643653
203 2.9976019185
325 3.3156498674
404 3.7993920973
1024 3.9936102236
1043 4.2087542088
5000 1.2291052114
evaluations raw_y
1 1.3116474292
2 1.4188422247
3 1.4318442153
12 2.3629489603
26 2.4366471735
49 2.5562372188
63 2.9411764706
74 3.3156498674
122 3.4626038781
174 3.5410764873
337 3.7091988131
374 3.8940809969
5000 2.6427061311
evaluations raw_y
1 0.8090614887
4 1.0841283608
7 1.6425755585
14 1.8573551263
24 1.8796992481
62 1.9025875190
82 1.9260400616
94 2.1663778163
103 2.2935779817
169 2.5562372188
214 2.9976019185
415 3.3875338753
456 3.6231884058
566 3.7993920973
5000 2.6427061311
evaluations raw_y
1 1.1825922422
4 1.3455328310
7 1.4450867052
15 1.4723203769
19 1.5762925599
28 1.6254876463
32 1.6778523490
42 1.8142235123
43 2.2281639929
86 2.3629489603
96 2.4752475248
166 2.5562372188
205 2.5987525988
252 2.7839643653
486 2.9976019185
652 3.1806615776
702 3.2467532468
846 3.3156498674
932 3.3875338753
962 3.7091988131
1284 3.8940809969
5000 2.0000000000
evaluations raw_y
1 1.1230907457
2 1.5151515152
8 1.7730496454
15 2.0798668885
34 2.1663778163
38 2.3992322457
75 2.4366471735
102 2.4752475248
159 2.6427061311
214 2.7352297593
246 2.7839643653
257 3.1172069825
373 3.3156498674
4040 3.6231884058
4234 3.8940809969
4436 4.0983606557
5000 1.1150758252
